Tournament,Stage,Match Type,Match Name,Team,Action,Map,tournament
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,DRX,ban,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Evil Geniuses,pick,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,DRX,pick,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Evil Geniuses,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,DRX,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,EDward Gaming,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,EDward Gaming,pick,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,LOUD,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,EDward Gaming,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,LOUD,ban,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,FNATIC,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,FNATIC,pick,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,pick,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,FNATIC,ban,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Evil Geniuses,ban,Split,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Paper Rex,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Evil Geniuses,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Paper Rex,pick,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Evil Geniuses,ban,Lotus,vct_2023
