Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration,tournament
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Pearl,Cloud9,13,8,5,,Sentinels,8,4,4,,1:03:43,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Fracture,Cloud9,5,3,2,,Sentinels,13,4,9,,38:40,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Split,Cloud9,13,8,5,,Sentinels,8,4,4,,49:49,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,LEVIATÁN vs KRÜ Esports,Split,LEVIATÁN,5,3,2,,KRÜ Esports,13,4,9,,54:06,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,LEVIATÁN vs KRÜ Esports,Lotus,LEVIATÁN,7,5,2,,KRÜ Esports,13,6,7,,51:32,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Ascent,Cloud9,13,8,5,,KRÜ Esports,4,0,4,,52:21,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Pearl,Cloud9,4,0,4,,KRÜ Esports,13,1,12,,41:06,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Final,Cloud9 vs KRÜ Esports,Haven,Cloud9,6,4,2,,KRÜ Esports,13,5,8,,42:06,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs LEVIATÁN,Fracture,Sentinels,8,6,2,,LEVIATÁN,13,7,6,,1:06:47,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs LEVIATÁN,Split,Sentinels,4,4,0,,LEVIATÁN,13,5,8,,39:41,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs LEVIATÁN,Lotus,Cloud9,13,8,5,,LEVIATÁN,7,3,4,,59:44,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs LEVIATÁN,Pearl,Cloud9,13,6,7,,LEVIATÁN,9,3,6,,53:50,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs LEVIATÁN,Split,Cloud9,11,6,5,,LEVIATÁN,13,7,6,,54:59,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs LEVIATÁN,Haven,Cloud9,10,9,1,,LEVIATÁN,13,10,3,,51:32,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Lower Final,Cloud9 vs LEVIATÁN,Bind,Cloud9,7,5,2,,LEVIATÁN,13,6,7,,45:35,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs LEVIATÁN,Split,KRÜ Esports,13,9,4,,LEVIATÁN,5,2,3,,58:41,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs LEVIATÁN,Pearl,KRÜ Esports,8,7,1,,LEVIATÁN,13,8,5,,51:25,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs LEVIATÁN,Ascent,KRÜ Esports,13,7,6,,LEVIATÁN,6,1,5,,47:32,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Grand Final,KRÜ Esports vs LEVIATÁN,Lotus,KRÜ Esports,13,6,7,,LEVIATÁN,10,4,6,,55:42,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Fracture,Team Heretics,8,7,1,,KOI,13,8,5,,1:00:23,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Pearl,Team Heretics,13,4,9,,KOI,10,2,8,,59:07,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,Team Heretics vs KOI,Haven,Team Heretics,6,4,2,,KOI,13,5,8,,52:34,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Haven,BBL Esports,14,4,8,2.0,Karmine Corp,12,4,8,0.0,1:08:26,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Lotus,BBL Esports,9,5,4,,Karmine Corp,13,6,7,,51:09,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Knockout Round,BBL Esports vs Karmine Corp,Bind,BBL Esports,12,5,7,0.0,Karmine Corp,14,5,7,2.0,59:34,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Split,Natus Vincere,6,6,0,,KOI,13,7,6,,1:11:12,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Natus Vincere vs KOI,Lotus,Natus Vincere,3,3,0,,KOI,13,4,9,,39:23,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Pearl,Giants Gaming,13,9,4,,Karmine Corp,11,8,3,,1:17:35,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Semifinals,Giants Gaming vs Karmine Corp,Split,Giants Gaming,13,10,3,,Karmine Corp,5,3,2,,47:05,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,Haven,KOI,12,5,7,0.0,Giants Gaming,14,5,7,2.0,1:19:18,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,KOI vs Giants Gaming,Pearl,KOI,5,5,0,,Giants Gaming,13,6,7,,45:15,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Lotus,Natus Vincere,13,7,6,,Karmine Corp,6,1,5,,1:01:11,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Ascent,Natus Vincere,7,5,2,,Karmine Corp,13,6,7,,50:13,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Pearl,Natus Vincere,13,8,5,,Karmine Corp,7,3,4,,54:23,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,Split,KOI,12,7,5,0.0,Natus Vincere,14,7,5,2.0,1:19:13,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,Pearl,KOI,10,2,8,,Natus Vincere,13,3,10,,1:10:35,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Lower Final,KOI vs Natus Vincere,Fracture,KOI,9,7,2,,Natus Vincere,13,8,5,,55:02,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Bind,Giants Gaming,13,6,7,,Natus Vincere,11,5,6,,1:19:21,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Lotus,Giants Gaming,13,7,6,,Natus Vincere,7,2,5,,46:38,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Grand Final,Giants Gaming vs Natus Vincere,Haven,Giants Gaming,13,7,6,,Natus Vincere,9,4,5,,48:12,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Talon Esports vs DetonatioN FocusMe,Fracture,Talon Esports,13,7,6,,DetonatioN FocusMe,7,2,5,,1:00:08,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Round 1,Talon Esports vs DetonatioN FocusMe,Ascent,Talon Esports,13,7,6,,DetonatioN FocusMe,8,3,5,,53:31,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,Split,Rex Regum Qeon,13,7,6,,Global Esports,10,5,5,,1:07:50,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,Ascent,Rex Regum Qeon,13,6,7,,Global Esports,10,4,6,,1:30:15,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Pearl,Gen.G,11,9,2,,Talon Esports,13,10,3,,1:02:57,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Split,Gen.G,13,7,6,,Talon Esports,10,5,5,,57:09,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Quarterfinals,Gen.G vs Talon Esports,Haven,Gen.G,15,4,8,3.0,Talon Esports,13,4,8,1.0,1:08:29,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,Haven,ZETA DIVISION,2,2,0,,Rex Regum Qeon,13,3,10,,46:32,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,Split,ZETA DIVISION,13,7,6,,Rex Regum Qeon,8,3,5,,49:56,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,Ascent,ZETA DIVISION,21,8,4,9.0,Rex Regum Qeon,19,8,4,7.0,1:37:29,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Haven,Team Secret,13,9,4,,Gen.G,6,3,3,,43:38,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Semifinals,Team Secret vs Gen.G,Ascent,Team Secret,13,8,5,,Gen.G,8,4,4,,50:53,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Lotus,ZETA DIVISION,13,9,4,,Team Secret,9,6,3,,1:05:02,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Upper Final,ZETA DIVISION vs Team Secret,Fracture,ZETA DIVISION,13,6,7,,Team Secret,7,1,6,,41:14,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,Main Event,Lower Round 1,Rex Regum Qeon vs Gen.G,Haven,Rex Regum Qeon,6,4,2,,Gen.G,13,5,8,,48:24,vct_2023
