Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID,tournament
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Round 1,Natus Vincere vs Karmine Corp,235371,Pearl,135098,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Final,KOI vs Natus Vincere,235372,Split,135099,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Final,KOI vs Natus Vincere,235372,Pearl,135100,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Final,KOI vs Natus Vincere,235372,Fracture,135101,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Grand Final,Giants Gaming vs Natus Vincere,235368,Bind,135085,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Grand Final,Giants Gaming vs Natus Vincere,235368,Lotus,135086,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Grand Final,Giants Gaming vs Natus Vincere,235368,Haven,135087,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Round 1,Talon Esports vs DetonatioN FocusMe,237266,Fracture,135648,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Round 1,Talon Esports vs DetonatioN FocusMe,237266,Ascent,135649,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,237267,Split,135651,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Quarterfinals,Rex Regum Qeon vs Global Esports,237267,Ascent,135652,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Quarterfinals,Gen.G vs Talon Esports,237268,Pearl,135654,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Quarterfinals,Gen.G vs Talon Esports,237268,Split,135655,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Quarterfinals,Gen.G vs Talon Esports,237268,Haven,135656,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,237269,Haven,135657,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,237269,Split,135658,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Semifinals,ZETA DIVISION vs Rex Regum Qeon,237269,Ascent,135659,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Semifinals,Team Secret vs Gen.G,237270,Haven,135660,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Semifinals,Team Secret vs Gen.G,237270,Ascent,135661,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Final,ZETA DIVISION vs Team Secret,237271,Lotus,135663,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Final,ZETA DIVISION vs Team Secret,237271,Fracture,135664,vct_2023
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Round 1,Rex Regum Qeon vs Gen.G,237272,Haven,135666,vct_2023
