Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,FunPlus Phoenix vs Trace Esports,359607,Lotus,174913
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,FunPlus Phoenix vs Trace Esports,359607,Sunset,174914
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Titan Esports Club vs All Gamers,359608,Sunset,174915
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Titan Esports Club vs All Gamers,359608,Icebox,174916
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,EDward Gaming vs Wolves Esports,359609,Split,174918
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,EDward Gaming vs Wolves Esports,359609,Bind,174919
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,EDward Gaming vs Wolves Esports,359609,Icebox,174920
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,TYLOO vs Trace Esports,359610,Split,174921
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,TYLOO vs Trace Esports,359610,Sunset,174922
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,TYLOO vs Trace Esports,359610,Haven,174923
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Nova Esports vs Bilibili Gaming,359611,Split,174924
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Nova Esports vs Bilibili Gaming,359611,Bind,174925
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Nova Esports vs Bilibili Gaming,359611,Ascent,174926
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,JDG Esports vs FunPlus Phoenix,359612,Sunset,174927
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,JDG Esports vs FunPlus Phoenix,359612,Haven,174928
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,EDward Gaming vs Dragon Ranger Gaming,359613,Lotus,174930
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,EDward Gaming vs Dragon Ranger Gaming,359613,Haven,174931
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Nova Esports vs Wolves Esports,359614,Icebox,174933
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Nova Esports vs Wolves Esports,359614,Sunset,174934
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,JDG Esports vs Trace Esports,359615,Bind,174936
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,JDG Esports vs Trace Esports,359615,Sunset,174937
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,JDG Esports vs Trace Esports,359615,Haven,174938
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Titan Esports Club vs TYLOO,359616,Bind,174939
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Titan Esports Club vs TYLOO,359616,Ascent,174940
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Titan Esports Club vs TYLOO,359616,Icebox,174941
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,All Gamers vs FunPlus Phoenix,359617,Sunset,174942
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,All Gamers vs FunPlus Phoenix,359617,Haven,174943
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,All Gamers vs FunPlus Phoenix,359617,Ascent,174944
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Bilibili Gaming vs Dragon Ranger Gaming,359618,Lotus,174945
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,Bilibili Gaming vs Dragon Ranger Gaming,359618,Ascent,174946
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,EDward Gaming vs Nova Esports,359619,Lotus,174948
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 3,EDward Gaming vs Nova Esports,359619,Bind,174949
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,All Gamers vs Trace Esports,359621,Haven,174951
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,All Gamers vs Trace Esports,359621,Sunset,174952
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Titan Esports Club vs FunPlus Phoenix,359622,Lotus,174954
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Titan Esports Club vs FunPlus Phoenix,359622,Sunset,174955
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,TYLOO vs JDG Esports,359623,Haven,174957
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,TYLOO vs JDG Esports,359623,Icebox,174958
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Dragon Ranger Gaming vs Wolves Esports,359624,Icebox,174960
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Dragon Ranger Gaming vs Wolves Esports,359624,Ascent,174961
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Trace Esports vs Titan Esports Club,359625,Lotus,174963
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Trace Esports vs Titan Esports Club,359625,Bind,174964
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,Trace Esports vs Titan Esports Club,359625,Haven,174965
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,EDward Gaming vs Bilibili Gaming,359626,Icebox,174966
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,EDward Gaming vs Bilibili Gaming,359626,Haven,174967
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,JDG Esports vs All Gamers,359627,Haven,174969
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,JDG Esports vs All Gamers,359627,Icebox,174970
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,TYLOO vs FunPlus Phoenix,359628,Icebox,174972
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,TYLOO vs FunPlus Phoenix,359628,Haven,174973
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 4,TYLOO vs FunPlus Phoenix,359628,Ascent,174974
Champions Tour 2024: China Stage 2,2096,Playoffs,4034,Knockout Round,Trace Esports vs All Gamers,370723,Lotus,178694
